kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(ns),task_stop(ns)
,event record task,672,2,"""0.01""","""1618703280074123942""","""1618703280074123952"""
,event record task,482,9,"""0.01""","""1618703280151465202""","""1618703280151465212"""
0_1_discriminator/self_attention/h_conv/bias/Adam_1/Assign,kernel AI core task,448,2,"""3.39""","""1618703280167867802""","""1618703280167871192"""
0_1_discriminator/self_attention/gamma/Adam/Assign,kernel AI core task,448,3,"""1.28""","""1618703280167871572""","""1618703280167872852"""
0_1_discriminator/self_attention/gamma/Adam_1/Assign,kernel AI core task,448,4,"""1.04""","""1618703280167873242""","""1618703280167874282"""
0_1_generator/resblock_up_4/res2/batch_norm/beta/dense/bias/Adam_1/Assign,kernel AI core task,448,5,"""1.46""","""1618703280167874662""","""1618703280167876122"""
0_1_discriminator/resblock_down_1/res1/batch_norm/gamma/Assign,kernel AI core task,448,6,"""1.39""","""1618703280167876222""","""1618703280167877612"""
0_1_discriminator/self_attention/attn_conv/bias/Adam/Assign,kernel AI core task,448,7,"""1.22""","""1618703280167877722""","""1618703280167878942"""
,memory copy task,447,2,"""2.13""","""1618703280167877022""","""1618703280167879152"""
,event record task,447,3,"""0.01""","""1618703280167879252""","""1618703280167879262"""
,memory copy task,447,4,"""0.78""","""1618703280167879362""","""1618703280167880142"""
0_1_discriminator/resblock_down_1/res1/batch_norm/beta/Assign,kernel AI core task,448,8,"""1.19""","""1618703280167879042""","""1618703280167880232"""
,memory copy task,447,5,"""0.89""","""1618703280167880242""","""1618703280167881132"""
0_1_discriminator/resblock_down_1/res1/batch_norm/moving_mean/Assign,kernel AI core task,448,9,"""1.19""","""1618703280167880382""","""1618703280167881572"""
,memory copy task,447,6,"""0.8""","""1618703280167881232""","""1618703280167882032"""
0_1_discriminator/resblock_down_1/res1/batch_norm/moving_variance/Assign,kernel AI core task,448,10,"""1.09""","""1618703280167881672""","""1618703280167882762"""
,memory copy task,447,7,"""0.79""","""1618703280167882132""","""1618703280167882922"""
,memory copy task,447,8,"""0.77""","""1618703280167883022""","""1618703280167883792"""
0_1_generator/self_attention/attn_conv/bias/Assign,kernel AI core task,448,11,"""1.38""","""1618703280167882872""","""1618703280167884252"""
,memory copy task,447,9,"""1.02""","""1618703280167883892""","""1618703280167884912"""
0_1_discriminator/self_attention/attn_conv/bias/Adam_1/Assign,kernel AI core task,448,12,"""1.09""","""1618703280167884352""","""1618703280167885442"""
,memory copy task,447,10,"""0.81""","""1618703280167885012""","""1618703280167885822"""
0_1_generator/resblock_up_1/res1/batch_norm/pop_mean/Assign,kernel AI core task,448,13,"""1.17""","""1618703280167885542""","""1618703280167886712"""
,memory copy task,447,11,"""0.92""","""1618703280167885922""","""1618703280167886842"""
,memory copy task,447,12,"""0.76""","""1618703280167886942""","""1618703280167887702"""
,event record task,447,13,"""0.01""","""1618703280167887802""","""1618703280167887812"""
0_1_discriminator/resblock_down_2/res1/batch_norm/gamma/Adam/Assign,kernel AI core task,448,14,"""1.11""","""1618703280167886812""","""1618703280167887922"""
,memory copy task,447,14,"""0.89""","""1618703280167887912""","""1618703280167888802"""
0_1_generator/resblock_up_1/res1/batch_norm/pop_var/Assign,kernel AI core task,448,15,"""1.26""","""1618703280167888022""","""1618703280167889282"""
,memory copy task,447,15,"""0.79""","""1618703280167888902""","""1618703280167889692"""
,memory copy task,447,16,"""0.81""","""1618703280167889792""","""1618703280167890602"""
,memory copy task,447,17,"""0.78""","""1618703280167890702""","""1618703280167891482"""
,memory copy task,447,18,"""1.26""","""1618703280167891592""","""1618703280167892852"""
,memory copy task,447,19,"""0.96""","""1618703280167892962""","""1618703280167893922"""
,memory copy task,447,20,"""0.97""","""1618703280167894022""","""1618703280167894992"""
,memory copy task,447,21,"""0.83""","""1618703280167895092""","""1618703280167895922"""
,memory copy task,447,22,"""0.91""","""1618703280167896022""","""1618703280167896932"""
,event record task,447,23,"""0.0""","""1618703280167897042""","""1618703280167897042"""
,memory copy task,447,24,"""0.89""","""1618703280167897152""","""1618703280167898042"""
,memory copy task,447,25,"""0.88""","""1618703280167898142""","""1618703280167899022"""
,memory copy task,447,26,"""0.77""","""1618703280167899122""","""1618703280167899892"""
,memory copy task,447,27,"""0.78""","""1618703280167899992""","""1618703280167900772"""
,memory copy task,447,28,"""0.75""","""1618703280167900872""","""1618703280167901622"""
,memory copy task,447,29,"""3.56""","""1618703280167901722""","""1618703280167905282"""
,memory copy task,447,30,"""3.64""","""1618703280167905392""","""1618703280167909032"""
,memory copy task,447,31,"""1.03""","""1618703280167909132""","""1618703280167910162"""
,memory copy task,447,32,"""0.97""","""1618703280167910262""","""1618703280167911232"""
,memory copy task,447,33,"""0.88""","""1618703280167911332""","""1618703280167912212"""
,event record task,447,34,"""0.0""","""1618703280167912322""","""1618703280167912322"""
,memory copy task,447,35,"""0.87""","""1618703280167912432""","""1618703280167913302"""
,memory copy task,447,36,"""0.81""","""1618703280167913412""","""1618703280167914222"""
,memory copy task,447,37,"""0.92""","""1618703280167914332""","""1618703280167915252"""
,memory copy task,447,38,"""0.8""","""1618703280167915352""","""1618703280167916152"""
,memory copy task,447,39,"""0.74""","""1618703280167916252""","""1618703280167916992"""
,memory copy task,447,40,"""0.93""","""1618703280167917102""","""1618703280167918032"""
,memory copy task,447,41,"""0.81""","""1618703280167918132""","""1618703280167918942"""
,memory copy task,447,42,"""0.86""","""1618703280167919042""","""1618703280167919902"""
,event record task,447,43,"""0.01""","""1618703280167920002""","""1618703280167920012"""
,memory copy task,447,44,"""0.85""","""1618703280167920112""","""1618703280167920962"""
,memory copy task,447,45,"""0.99""","""1618703280167921072""","""1618703280167922062"""
,memory copy task,447,46,"""0.75""","""1618703280167922172""","""1618703280167922922"""
,memory copy task,447,47,"""0.79""","""1618703280167923022""","""1618703280167923812"""
,memory copy task,447,48,"""0.74""","""1618703280167923912""","""1618703280167924652"""
,memory copy task,447,49,"""2.25""","""1618703280167924752""","""1618703280167927002"""
,memory copy task,447,50,"""2.14""","""1618703280167927102""","""1618703280167929242"""
,memory copy task,447,51,"""3.8""","""1618703280167929352""","""1618703280167933152"""
,memory copy task,447,52,"""3.6""","""1618703280167933262""","""1618703280167936862"""
,memory copy task,447,53,"""0.87""","""1618703280167936962""","""1618703280167937832"""
,event record task,447,54,"""0.01""","""1618703280167937932""","""1618703280167937942"""
,memory copy task,447,55,"""0.74""","""1618703280167938042""","""1618703280167938782"""
,memory copy task,447,56,"""0.96""","""1618703280167938892""","""1618703280167939852"""
,memory copy task,447,57,"""0.88""","""1618703280167939952""","""1618703280167940832"""
,memory copy task,447,58,"""0.77""","""1618703280167940942""","""1618703280167941712"""
,memory copy task,447,59,"""0.75""","""1618703280167941822""","""1618703280167942572"""
,memory copy task,447,60,"""0.85""","""1618703280167942682""","""1618703280167943532"""
,event record task,447,61,"""0.0""","""1618703280167943642""","""1618703280167943642"""
,memory copy task,447,62,"""0.85""","""1618703280167943752""","""1618703280167944602"""
,memory copy task,447,63,"""0.87""","""1618703280167944702""","""1618703280167945572"""
,memory copy task,447,64,"""0.81""","""1618703280167945672""","""1618703280167946482"""
,memory copy task,447,65,"""0.73""","""1618703280167946582""","""1618703280167947312"""
,memory copy task,447,66,"""0.76""","""1618703280167947412""","""1618703280167948172"""
,memory copy task,447,67,"""1.01""","""1618703280167948282""","""1618703280167949292"""
,memory copy task,447,68,"""0.82""","""1618703280167949392""","""1618703280167950212"""
,memory copy task,447,69,"""8.85""","""1618703280167950312""","""1618703280167959162"""
,memory copy task,447,70,"""8.26""","""1618703280167959262""","""1618703280167967522"""
,memory copy task,447,71,"""1.4""","""1618703280167967622""","""1618703280167969022"""
,event record task,447,72,"""0.01""","""1618703280167969122""","""1618703280167969132"""
,memory copy task,447,73,"""1.2""","""1618703280167969232""","""1618703280167970432"""
,memory copy task,447,74,"""1.25""","""1618703280167970532""","""1618703280167971782"""
,memory copy task,447,75,"""0.94""","""1618703280167971882""","""1618703280167972822"""
,memory copy task,447,76,"""1.01""","""1618703280167972932""","""1618703280167973942"""
,memory copy task,447,77,"""1.1""","""1618703280167974042""","""1618703280167975142"""
,memory copy task,447,78,"""1.58""","""1618703280167975242""","""1618703280167976822"""
,memory copy task,447,79,"""1.16""","""1618703280167976932""","""1618703280167978092"""
,memory copy task,447,80,"""1.1""","""1618703280167978192""","""1618703280167979292"""
,event record task,447,81,"""0.01""","""1618703280167979392""","""1618703280167979402"""
,memory copy task,447,82,"""0.95""","""1618703280167979502""","""1618703280167980452"""
,memory copy task,447,83,"""0.99""","""1618703280167980552""","""1618703280167981542"""
,memory copy task,447,84,"""0.8""","""1618703280167981642""","""1618703280167982442"""
,memory copy task,447,85,"""0.83""","""1618703280167982542""","""1618703280167983372"""
,memory copy task,447,86,"""0.83""","""1618703280167983472""","""1618703280167984302"""
,memory copy task,447,87,"""1.44""","""1618703280167984402""","""1618703280167985842"""
,memory copy task,447,88,"""1.17""","""1618703280167985952""","""1618703280167987122"""
,memory copy task,447,89,"""0.95""","""1618703280167987222""","""1618703280167988172"""
,event record task,447,90,"""0.01""","""1618703280167988272""","""1618703280167988282"""
,memory copy task,447,91,"""0.81""","""1618703280167988382""","""1618703280167989192"""
,memory copy task,447,92,"""0.93""","""1618703280167989302""","""1618703280167990232"""
,memory copy task,447,93,"""0.82""","""1618703280167990332""","""1618703280167991152"""
,memory copy task,447,94,"""0.79""","""1618703280167991252""","""1618703280167992042"""
,memory copy task,447,95,"""0.92""","""1618703280167992152""","""1618703280167993072"""
,memory copy task,447,96,"""332.92""","""1618703280167993182""","""1618703280168326102"""
,memory copy task,447,97,"""317.13""","""1618703280168326202""","""1618703280168643332"""
,memory copy task,447,98,"""1.62""","""1618703280168643432""","""1618703280168645052"""
,memory copy task,447,99,"""1.13""","""1618703280168645162""","""1618703280168646292"""
,memory copy task,447,100,"""1.15""","""1618703280168646402""","""1618703280168647552"""
,event record task,447,101,"""0.01""","""1618703280168647652""","""1618703280168647662"""
,memory copy task,447,102,"""0.82""","""1618703280168647762""","""1618703280168648582"""
,memory copy task,447,103,"""1.0""","""1618703280168648682""","""1618703280168649682"""
,memory copy task,447,104,"""1.08""","""1618703280168649782""","""1618703280168650862"""
,memory copy task,447,105,"""0.78""","""1618703280168650972""","""1618703280168651752"""
,memory copy task,447,106,"""0.8""","""1618703280168651862""","""1618703280168652662"""
,memory copy task,447,107,"""1.4""","""1618703280168652772""","""1618703280168654172"""
,memory copy task,447,108,"""1.12""","""1618703280168654272""","""1618703280168655392"""
,memory copy task,447,109,"""0.89""","""1618703280168655502""","""1618703280168656392"""
,event record task,447,110,"""0.0""","""1618703280168656502""","""1618703280168656502"""
,memory copy task,447,111,"""0.91""","""1618703280168656612""","""1618703280168657522"""
,memory copy task,447,112,"""0.92""","""1618703280168657622""","""1618703280168658542"""
,memory copy task,447,113,"""0.97""","""1618703280168658642""","""1618703280168659612"""
,memory copy task,447,114,"""0.8""","""1618703280168659712""","""1618703280168660512"""
,memory copy task,447,115,"""0.86""","""1618703280168660612""","""1618703280168661472"""
,event record task,675,3,"""0.0""","""1618703280168685652""","""1618703280168685652"""
,memory copy task,447,116,"""313.87""","""1618703280168661572""","""1618703280168975442"""
,memory copy task,447,117,"""279.31""","""1618703280168975542""","""1618703280169254852"""
,event record task,675,5,"""0.01""","""1618703280169396292""","""1618703280169396302"""
,memory copy task,447,118,"""321.89""","""1618703280169254952""","""1618703280169576842"""
,memory copy task,447,119,"""309.45""","""1618703280169576952""","""1618703280169886402"""
,memory copy task,447,120,"""1.64""","""1618703280169886502""","""1618703280169888142"""
,memory copy task,447,121,"""1.22""","""1618703280169888252""","""1618703280169889472"""
,memory copy task,447,122,"""1.0""","""1618703280169889572""","""1618703280169890572"""
,memory copy task,447,123,"""1.06""","""1618703280169890672""","""1618703280169891732"""
