kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(ns),task_stop(ns)
,event record task,889,2,"""0.01""","""1619056986028741566""","""1619056986028741576"""
,event record task,479,9,"""0.01""","""1619056986105146006""","""1619056986105146016"""
0_1_discriminator/self_attention/h_conv/bias/Adam_1/Assign,kernel AI core task,281,2,"""3.36""","""1619056986117548836""","""1619056986117552196"""
0_1_discriminator/self_attention/gamma/Adam/Assign,kernel AI core task,281,3,"""1.35""","""1619056986117552306""","""1619056986117553656"""
0_1_discriminator/self_attention/gamma/Adam_1/Assign,kernel AI core task,281,4,"""0.96""","""1619056986117553766""","""1619056986117554726"""
,memory copy task,222,2,"""2.31""","""1619056986117552576""","""1619056986117554886"""
,event record task,222,3,"""0.0""","""1619056986117554996""","""1619056986117554996"""
,memory copy task,222,4,"""0.78""","""1619056986117555106""","""1619056986117555886"""
0_1_generator/resblock_up_4/res2/batch_norm/beta/dense/bias/Adam_1/Assign,kernel AI core task,281,5,"""1.47""","""1619056986117554826""","""1619056986117556296"""
,memory copy task,222,5,"""0.88""","""1619056986117555986""","""1619056986117556866"""
,memory copy task,222,6,"""0.81""","""1619056986117556966""","""1619056986117557776"""
0_1_discriminator/resblock_down_1/res1/batch_norm/gamma/Assign,kernel AI core task,281,6,"""1.49""","""1619056986117556396""","""1619056986117557886"""
,memory copy task,222,7,"""0.78""","""1619056986117557876""","""1619056986117558656"""
0_1_discriminator/self_attention/attn_conv/bias/Adam/Assign,kernel AI core task,281,7,"""1.27""","""1619056986117557986""","""1619056986117559256"""
,memory copy task,222,8,"""0.78""","""1619056986117558756""","""1619056986117559536"""
0_1_discriminator/resblock_down_1/res1/batch_norm/beta/Assign,kernel AI core task,281,8,"""1.2""","""1619056986117559356""","""1619056986117560556"""
,memory copy task,222,9,"""0.93""","""1619056986117559636""","""1619056986117560566"""
,memory copy task,222,10,"""0.82""","""1619056986117560666""","""1619056986117561486"""
0_1_discriminator/resblock_down_1/res1/batch_norm/moving_mean/Assign,kernel AI core task,281,9,"""1.17""","""1619056986117560656""","""1619056986117561826"""
,memory copy task,222,11,"""0.92""","""1619056986117561596""","""1619056986117562516"""
0_1_discriminator/resblock_down_1/res1/batch_norm/moving_variance/Assign,kernel AI core task,281,10,"""1.05""","""1619056986117561936""","""1619056986117562986"""
,memory copy task,222,12,"""0.73""","""1619056986117562616""","""1619056986117563346"""
,event record task,222,13,"""0.0""","""1619056986117563456""","""1619056986117563456"""
,memory copy task,222,14,"""1.01""","""1619056986117563566""","""1619056986117564576"""
0_1_generator/self_attention/attn_conv/bias/Assign,kernel AI core task,281,11,"""1.55""","""1619056986117563086""","""1619056986117564636"""
,memory copy task,222,15,"""0.8""","""1619056986117564676""","""1619056986117565476"""
0_1_discriminator/self_attention/attn_conv/bias/Adam_1/Assign,kernel AI core task,281,12,"""0.98""","""1619056986117564736""","""1619056986117565716"""
,memory copy task,222,16,"""0.79""","""1619056986117565576""","""1619056986117566366"""
0_1_generator/resblock_up_1/res1/batch_norm/pop_mean/Assign,kernel AI core task,281,13,"""1.06""","""1619056986117565816""","""1619056986117566876"""
,memory copy task,222,17,"""0.75""","""1619056986117566476""","""1619056986117567226"""
0_1_discriminator/resblock_down_2/res1/batch_norm/gamma/Adam/Assign,kernel AI core task,281,14,"""1.1""","""1619056986117566976""","""1619056986117568076"""
,memory copy task,222,18,"""1.29""","""1619056986117567336""","""1619056986117568626"""
0_1_generator/resblock_up_1/res1/batch_norm/pop_var/Assign,kernel AI core task,281,15,"""1.2""","""1619056986117568176""","""1619056986117569376"""
,memory copy task,222,19,"""0.96""","""1619056986117568726""","""1619056986117569686"""
,memory copy task,222,20,"""1.06""","""1619056986117569796""","""1619056986117570856"""
,memory copy task,222,21,"""0.83""","""1619056986117570956""","""1619056986117571786"""
,memory copy task,222,22,"""0.9""","""1619056986117571896""","""1619056986117572796"""
,event record task,222,23,"""0.01""","""1619056986117572896""","""1619056986117572906"""
,memory copy task,222,24,"""0.89""","""1619056986117573006""","""1619056986117573896"""
,memory copy task,222,25,"""0.87""","""1619056986117573996""","""1619056986117574866"""
,memory copy task,222,26,"""0.78""","""1619056986117574966""","""1619056986117575746"""
,memory copy task,222,27,"""0.78""","""1619056986117575846""","""1619056986117576626"""
,memory copy task,222,28,"""0.75""","""1619056986117576726""","""1619056986117577476"""
,memory copy task,222,29,"""3.42""","""1619056986117577576""","""1619056986117580996"""
,memory copy task,222,30,"""3.47""","""1619056986117581096""","""1619056986117584566"""
,memory copy task,222,31,"""1.03""","""1619056986117584666""","""1619056986117585696"""
,memory copy task,222,32,"""0.95""","""1619056986117585796""","""1619056986117586746"""
,memory copy task,222,33,"""0.88""","""1619056986117586856""","""1619056986117587736"""
,event record task,222,34,"""0.01""","""1619056986117587836""","""1619056986117587846"""
